model_id,model_label,revision,step,tokens_seen,lang,subject,layer,best_alpha,parcel,n_voxels_left,n_voxels_right,mean_pearson_left,mean_pearson_right,lateralization_index,lateralization_pvalue,mean_pearson,model_dir,n_params,n_params_b,log10_n_params,encoding,best_step,best_layer
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Frontal Medial Cortex,13,23,0.3390933018830359,0.391972387856989,-0.052879085973953,7.960622777817025e-06,0.3728771623663948,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3655328448700125,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Juxtapositional Lobule Cortex ),7,5,0.4329462937738547,0.4500367226355055,-0.0170904288616508,0.1990983767738053,0.4400673057995425,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4414915082046801,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Subcallosal Cortex,0,0,,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Paracingulate Gyrus,61,90,0.3540185942814557,0.3657676291798564,-0.0117490348984006,0.1363221563789084,0.361021330313615,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.3598931117306561,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Cingulate Gyrus, anterior division",41,44,0.3369490266458897,0.3855240917507896,-0.0485750651048998,5.9275316597037855e-06,0.3620937662296026,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.36123655919833964,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Cingulate Gyrus, posterior division",174,132,0.4335363763015287,0.4490293252076205,-0.0154929489060918,0.0011628443750949,0.4402196091629801,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.44128285075457463,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Precuneous Cortex,327,253,0.4143619525392772,0.420005959013371,-0.0056440064740937,0.249264961923666,0.4168239070874595,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4171839557763241,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Cuneal Cortex,3,3,0.2854800369350835,0.3030257803812199,-0.0175457434461363,0.0760232269743675,0.2942529086581517,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.2942529086581517,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,Frontal Orbital Cortex,91,40,0.4328068411150625,0.4284718442964459,0.0043349968186165,0.6686610020212126,0.4314831779643399,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,0.4306393427057542,143000,11
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,11,21544.35,"Parahippocampal Gyrus, anterior division",0,0,,,,,,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238,,143000,11
