model_id,model_label,revision,step,tokens_seen,lang,subject,layer,best_alpha,roi,mean_pearson,std_pearson,n_voxels,model_dir,n_params,n_params_b,log10_n_params
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,6,21544.35,BA45,0.4511576981297619,0.0637074106813911,50,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,6,21544.35,BA47,0.388303415154719,0.0381359012711716,68,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,6,21544.35,TP,0.3946463047002446,0.047268484571128,32,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,6,21544.35,aSTS,0.3715449169043363,0.0214405094843137,40,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,6,21544.35,pSTS,0.3776870562588401,0.038977217503586,53,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,7,24307.85444444444,AG_TPJ,0.3811924312358884,0.0556622429005404,56,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,7,24307.85444444444,BA44,0.4250304900448581,0.0491728255349089,37,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,7,24307.85444444444,BA45,0.4694924451797768,0.0640353514618462,50,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,7,24307.85444444444,BA47,0.4087829833869699,0.0380205831128533,68,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
EleutherAI/pythia-1.4b-deduped,Pythia-1.4B-deduped,step143000,143000,299892736000,en,average_en_precomputed,7,24307.85444444444,TP,0.4076323649952024,0.0481528705592911,32,EleutherAI_pythia-1.4b-deduped,1400000000.0,1.4,9.146128035678238
